Name,Country,les Escaldes,Andorra
Andorra la Vella,Andorra
Wakema,Myanmar
Twante,Myanmar
Taungoo,Myanmar
Thongwa,Myanmar
Thayetmyo,Myanmar
Thaton,Myanmar
Tharyarwady,Myanmar
Thanatpin,Myanmar
Dawei,Myanmar
Taunggyi,Myanmar
Taungdwingyi,Myanmar
Tachilek,Myanmar
Syriam,Myanmar
Sittwe,Myanmar
Shwebo,Myanmar
Sagaing,Myanmar
Yangon,Myanmar
Pyu,Myanmar
Pyinmana,Myanmar
Pyay,Myanmar
Pyapon,Myanmar
Bago,Myanmar
Paungde,Myanmar
Pakokku,Myanmar
Hpa-An,Myanmar
Nyaunglebin,Myanmar
Myitkyina,Myanmar
Myingyan,Myanmar
Myawadi,Myanmar
Myanaung,Myanmar
Mudon,Myanmar
Mawlamyinegyunn,Myanmar
Mawlamyine,Myanmar
Monywa,Myanmar
Mogok,Myanmar
Minbu,Myanmar
Myeik,Myanmar
Meiktila,Myanmar
Pyin Oo Lwin,Myanmar
Mawlaik,Myanmar
Maubin,Myanmar
Martaban,Myanmar
Mandalay,Myanmar
Magway,Myanmar
Loikaw,Myanmar
Letpandan,Myanmar
Lashio,Myanmar
Lakang,Myanmar
Kyeintali,Myanmar
Kyaukse,Myanmar
Kyaikto,Myanmar
Kyaiklat,Myanmar
Kyaikkami,Myanmar
Kēng Tung,Myanmar
Kayan,Myanmar
Kawthoung,Myanmar
Kanbe,Myanmar
Hinthada,Myanmar
Heho,Myanmar
Hakha,Myanmar
Gwa,Myanmar
Chauk,Myanmar
Bogale,Myanmar
Bhamo,Myanmar
Pathein,Myanmar
Ann,Myanmar
Amarapura,Myanmar
Myaydo,Myanmar
Nay Pyi Taw,Myanmar
Tedim,Myanmar
Kyain Seikgyi Township,Myanmar
Uliastay,Mongolia
Ulaangom,Mongolia
Ölgii,Mongolia
Khovd,Mongolia
Altai,Mongolia
Ulan Bator,Mongolia
Tsetserleg,Mongolia
Sühbaatar,Mongolia
Undurkhaan,Mongolia
Mörön,Mongolia
Bogd,Mongolia
Erdenet,Mongolia
Dzuunmod,Mongolia
Dzüünharaa,Mongolia
Darhan,Mongolia
Dalandzadgad,Mongolia
Saynshand,Mongolia
Bulgan,Mongolia
Bayanhongor,Mongolia
Baruun-Urt,Mongolia
Arvayheer,Mongolia
Zuunmod,Mongolia
Taipa,Macao
Macau,Macao
Lai Chi Van,Macao
Luhuan,Macao
Zhuojiacun,Macao
Saipan,Northern Mariana Islands
Saint-Joseph,Martinique
Sainte-Marie,Martinique
Le Robert,Martinique
Le Lamentin,Martinique
Le François,Martinique
La Trinité,Martinique
Fort-de-France,Martinique
Ducos,Martinique
Zouérat,Mauritania
Tembedgha,Mauritania
Tékane,Mauritania
Sélibaby,Mauritania
Rosso,Mauritania
Nouakchott,Mauritania
Nouadhibou,Mauritania
Néma,Mauritania
Magṭa‘ Laḥjar,Mauritania
Kiffa,Mauritania
Kaédi,Mauritania
Boutilimit,Mauritania
Bogué,Mauritania
Ayoun El Atrous,Mauritania
Atar,Mauritania
Aleg,Mauritania
Akjoujt,Mauritania
Ṭinṭâne,Mauritania
Tevragh Zeina,Mauritania
Dar Naim,Mauritania
Guerou,Mauritania
Mbera,Mauritania
Plymouth,Montserrat
Brades,Montserrat
Żabbar,Malta
Valletta,Malta
Sliema,Malta
San Pawl il-Baħar,Malta
Qormi,Malta
Mosta,Malta
Birkirkara,Malta
Vacoas,Mauritius
Triolet,Mauritius
Saint Pierre,Mauritius
Quatre Bornes,Mauritius
Port Louis,Mauritius
Mahébourg,Mauritius
Goodlands,Mauritius
Curepipe,Mauritius
Centre de Flacq,Mauritius
Bel Air Rivière Sèche,Mauritius
Beau Bassin-Rose Hill,Mauritius
Bambous,Mauritius
Baie du Tombeau,Mauritius
Le Hochet,Mauritius
Male,Maldives
Karonga,Malawi
Chitipa,Malawi
Zomba,Malawi
Salima,Malawi
Rumphi,Malawi
Ntcheu,Malawi
Nsanje,Malawi
Nkhotakota,Malawi
Nkhata Bay,Malawi
Mzuzu,Malawi
Mzimba,Malawi
Mwanza,Malawi
Mulanje,Malawi
Mponela,Malawi
Monkey Bay,Malawi
Mchinji,Malawi
Mangochi,Malawi
Liwonde,Malawi
Lilongwe,Malawi
Kasungu,Malawi
Dedza,Malawi
Blantyre,Malawi
Balaka,Malawi
San Fernando,Mexico
Ciudad Valles,Mexico
Zumpango,Mexico
Zumpango del Río,Mexico
Zacualtipán,Mexico
Zacatlán,Mexico
Zacatepec,Mexico
Yecapixtla,Mexico
Yautepec,Mexico
Yajalón,Mexico
Xoxocotla,Mexico
Xonacatlán,Mexico
Xochitepec,Mexico
Xochimilco,Mexico
Xicotepec de Juárez,Mexico
Xico,Mexico
Xico,Mexico
Santa Ana Xalmimilulco,Mexico
Álvaro Obregón,Mexico
Villahermosa,Mexico
Gustavo Adolfo Madero,Mexico
Villaflores,Mexico
Veracruz,Mexico
Venustiano Carranza,Mexico
Valle Hermoso,Mexico
Valladolid,Mexico
Umán,Mexico
Tuxtla,Mexico
Túxpam de Rodríguez Cano,Mexico
Tulum,Mexico
Tultitlán de Mariano Escobedo,Mexico
Tultepec,Mexico
Tulancingo,Mexico
Tula de Allende,Mexico
Santa Rosa Treinta,Mexico
San Miguel Topilejo,Mexico
Toluca,Mexico
San Bernardino Tlaxcalancingo,Mexico
Tlaquiltenango,Mexico
Tlapa de Comonfort,Mexico
Tlapacoyan,Mexico
Tlalpan,Mexico
Tlalnepantla,Mexico
Tláhuac,Mexico
Tizimín,Mexico
Tizayuca,Mexico
Tixtla de Guerrero,Mexico
Ticul,Mexico
Teziutlan,Mexico
Texcoco de Mora,Mexico
Tequixquiac,Mexico
Tequisquiapan,Mexico
Cuautitlán Izcalli,Mexico
Tepotzotlán,Mexico
Tepeji del Río de Ocampo,Mexico
Tepeapulco,Mexico
Tepeaca,Mexico
Tepatlaxco de Hidalgo,Mexico
Teopisca,Mexico
Teoloyucan,Mexico
Tenosique,Mexico
Tenango de Arista,Mexico
Temixco,Mexico
Teloloapan,Mexico
Tecax,Mexico
Tehuacán,Mexico
Tecamachalco,Mexico
Teapa,Mexico
Taxco de Alarcón,Mexico
Tapachula,Mexico
Tantoyuca,Mexico
Tamuín,Mexico
Tampico,Mexico
Tamazunchale,Mexico
Suchiapa,Mexico
Santo Domingo Tehuantepec,Mexico
Santiago Tuxtla,Mexico
Tetla,Mexico
Pinotepa Nacional,Mexico
Santiago Tulantepec,Mexico
Moyotzingo,Mexico
Santa María Chimalhuacán,Mexico
Santa María Atzompa,Mexico
Heroica Ciudad de Tlaxiaco,Mexico
Santa Cruz Xoxocotlán,Mexico
Tecámac,Mexico
Santa Ana Chiautempan,Mexico
Zinacatepec,Mexico
San Salvador El Seco,Mexico
San Salvador Atenco,Mexico
San Rafael,Mexico
San Pablo de las Salinas,Mexico
San Pablo Autopan,Mexico
Zinacantepec,Mexico
San Miguel Coatlinchán,Mexico
San Miguel Ajusco,Mexico
San Mateo Atenco,Mexico
San Martin Texmelucan de Labastida,Mexico
Teolocholco,Mexico
San Juan Zitlaltepec,Mexico
San Juan Ixtayopan,Mexico
San Juan del Río,Mexico
Tuxtepec,Mexico
San Jerónimo,Mexico
San Francisco Tlalcilalcalpan,Mexico
San Francisco Acuautla,Mexico
Sanctorum,Mexico
San Cristóbal de las Casas,Mexico
San Andrés Tuxtla,Mexico
Salina Cruz,Mexico
Rioverde,Mexico
Ciudad Río Bravo,Mexico
Río Blanco,Mexico
Reynosa,Mexico
Reforma,Mexico
Puerto Escondido,Mexico
Puente de Ixtla,Mexico
Puebla,Mexico
Progreso de Alvaro Obregon,Mexico
Progreso,Mexico
Poza Rica de Hidalgo,Mexico
Polanco,Mexico
Playa del Carmen,Mexico
Pijijiapan,Mexico
Peto,Mexico
Perote,Mexico
Paraiso,Mexico
Papantla de Olarte,Mexico
Pánuco,Mexico
Palmarito Tochapan,Mexico
Palenque,Mexico
Pachuca de Soto,Mexico
Ozumba de Alzate,Mexico
San Pablo Oztotepec,Mexico
Oxkutzkab,Mexico
Orizaba,Mexico
Ometepec,Mexico
Ocozocoautla de Espinosa,Mexico
Ocoyoacac,Mexico
Ocotlán de Morelos,Mexico
Ocosingo,Mexico
Oaxaca,Mexico
Nuevo Laredo,Mexico
Nogales,Mexico
Nicolás Romero,Mexico
Naucalpan de Juárez,Mexico
Naranjos,Mexico
Nanchital de Lázaro Cárdenas del Río,Mexico
Motul,Mexico
Motozintla,Mexico
Montemorelos,Mexico
Santiago Momoxpan,Mexico
Mixquiahuala de Juarez,Mexico
Misantla,Mexico
Miramar,Mexico
Minatitlán,Mexico
Milpa Alta,Mexico
Miahuatlán de Porfirio Díaz,Mexico
Metepec,Mexico
Mérida,Mexico
Matías Romero,Mexico
Heroica Matamoros,Mexico
Martínez de la Torre,Mexico
Mapastepec,Mexico
Magdalena Contreras,Mexico
Macuspana,Mexico
Reyes Acozac,Mexico
Los Reyes Acaquilpan,Mexico
Los Reyes de Juárez,Mexico
Linares,Mexico
Libres,Mexico
Lerma de Villada,Mexico
Lerdo de Tejada,Mexico
Las Rosas,Mexico
Las Margaritas,Mexico
Las Choapas,Mexico
Magdalena Atlicpac,Mexico
La Isla,Mexico
San Antonio de la Cal,Mexico
Kanasín,Mexico
Juchitepec,Mexico
Juchitán de Zaragoza,Mexico
José Cardel,Mexico
Jojutla,Mexico
Jiutepec,Mexico
Jáltipan de Morelos,Mexico
Jalpa de Méndez,Mexico
Xalatlaco,Mexico
Xalapa de Enríquez,Mexico
Izúcar de Matamoros,Mexico
Izamal,Mexico
Ixtepec,Mexico
Ixtapan de la Sal,Mexico
Ixtapaluca,Mexico
Iztapalapa,Mexico
Ixtaczoquitlán,Mexico
Iztacalco,Mexico
Ixmiquilpan,Mexico
Villa Independencia,Mexico
Iguala de la Independencia,Mexico
Hunucmá,Mexico
Huixtla,Mexico
Ciudad de Huitzuco,Mexico
Huimanguillo,Mexico
Huejutla de Reyes,Mexico
Huejotzingo,Mexico
Huauchinango,Mexico
Huatusco,Mexico
Ciudad de Huajuapan de León,Mexico
Comalapa,Mexico
Frontera,Mexico
Fortín de las Flores,Mexico
Felipe Carrillo Puerto,Mexico
Escárcega,Mexico
Emiliano Zapata,Mexico
Emiliano Zapata,Mexico
Ciudad Mante,Mexico
Ecatepec de Morelos,Mexico
Ébano,Mexico
Cunduacán,Mexico
Cuernavaca,Mexico
Cuautlancingo,Mexico
Cuautla,Mexico
Cuautitlán,Mexico
Cuautepec de Hinojosa,Mexico
Delegación Cuajimalpa de Morelos,Mexico
Cozumel,Mexico
Coyotepec,Mexico
Coyoacán,Mexico
Cosoleacaque,Mexico
Coscomatepec de Bravo,Mexico
Cosamaloapan,Mexico
Córdoba,Mexico
Contla,Mexico
Comitán,Mexico
Comalcalco,Mexico
Coatzintla,Mexico
Coatzacoalcos,Mexico
Coatepec,Mexico
Coacalco,Mexico
Ciudad Victoria,Mexico
Ciudad Serdán,Mexico
Ciudad Sahagun,Mexico
Ciudad Nezahualcoyotl,Mexico
Ciudad Miguel Alemán,Mexico
Ciudad Mendoza,Mexico
Ciudad Madero,Mexico
Ciudad Fernández,Mexico
Mexico City,Mexico
Ciudad del Carmen,Mexico
Cintalapa de Figueroa,Mexico
Cholula,Mexico
Chilpancingo,Mexico
Chilapa de Álvarez,Mexico
Chignahuapan,Mexico
Chiconcuac,Mexico
Chicoloapan,Mexico
Chichén-Itzá,Mexico
Chiapa de Corzo,Mexico
Chetumal,Mexico
Champotón,Mexico
Chalco,Mexico
Cerro Azul,Mexico
Catemaco,Mexico
Carlos A. Carrillo,Mexico
Cárdenas,Mexico
Cárdenas,Mexico
Capulhuac de Mirafuentes,Mexico
Cancún,Mexico
Campeche,Mexico
Calpulalpan,Mexico
Cadereyta Jiménez,Mexico
Cadereyta,Mexico
Cacahoatán,Mexico
Berriozábal,Mexico
Banderilla,Mexico
Azcapotzalco,Mexico
Ayutla de los Libres,Mexico
Axochiapan,Mexico
Atlixco,Mexico
Atlacomulco de Fabela,Mexico
Ciudad López Mateos,Mexico
Apizaco,Mexico
Apan,Mexico
Amozoc de Mota,Mexico
Amecameca,Mexico
Alvarado,Mexico
Altotonga,Mexico
Altepexi,Mexico
Altamira,Mexico
Allende,Mexico
Álamo,Mexico
Ajalpan,Mexico
Agua Dulce,Mexico
Actopan,Mexico
San Lorenzo Acopilco,Mexico
Acayucan,Mexico
Acatzingo,Mexico
Acatlán de Osorio,Mexico
Acapulco de Juárez,Mexico
Acajete,Mexico
San Antonio Acahualco,Mexico
Valente Diaz,Mexico
Santiago Tlacotepec,Mexico
Tierra Blanca,Mexico
Playas del Rosario,Mexico
Río de Teapa,Mexico
Huamantla,Mexico
La Magdalena Tlaltelulco,Mexico
Zacatelco,Mexico
Tlaxcala,Mexico
Papalotla,Mexico
Villa Vicente Guerrero,Mexico
Tonalá,Mexico
Arriaga,Mexico
San Mateo Huitzilzingo,Mexico
San Martín Cuautlalpan,Mexico
Tulantongo,Mexico
Tezoyuca,Mexico
Tepexpan,Mexico
Santa María Ajoloapan,Mexico
San Andrés Cholula,Mexico
Alto Lucero,Mexico
Loma Bonita,Mexico
Isla,Mexico
San Andrés Cuexcontitlán,Mexico
San Mateo Otzacatipan,Mexico
San Pedro Totoltepec,Mexico
Santa María Totoltepec,Mexico
San Francisco Cuaxusco,Mexico
Benito Juarez,Mexico
Venustiano Carranza,Mexico
Miguel Hidalgo,Mexico
Cuauhtémoc,Mexico
Huixquilucan,Mexico
Melchor Ocampo,Mexico
Huilango,Mexico
Santiago Teyahualco,Mexico
Ojo de Agua,Mexico
Buenavista,Mexico
Miguel Alemán (La Doce),Mexico
Gabriel Leyva Solano,Mexico
Cihuatlán,Mexico
Lázaro Cárdenas,Mexico
Santa Isabel,Mexico
Guadalupe Victoria,Mexico
Zinapécuaro,Mexico
Ixtapa-Zihuatanejo,Mexico
Zapotlanejo,Mexico
Zapotiltic,Mexico
Zapopan,Mexico
Zamora,Mexico
Zacoalco de Torres,Mexico
Zacatecas,Mexico
Zacapú,Mexico
Yuriria,Mexico
Yurécuaro,Mexico
Villa Hidalgo,Mexico
Villagrán,Mexico
Frontera,Mexico
El Pueblito,Mexico
García,Mexico
Ciudad de Villa de Álvarez,Mexico
Valle de Santiago,Mexico
Valle de Bravo,Mexico
Uruapan,Mexico
Uriangato,Mexico
Tuzantla,Mexico
Tuxpan,Mexico
Tuxpan,Mexico
Torreón,Mexico
Tonalá,Mexico
Tlaquepaque,Mexico
Tlajomulco de Zúñiga,Mexico
Tijuana,Mexico
San Francisco Tesistán,Mexico
Tequila,Mexico
Tepic,Mexico
Tepatitlán de Morelos,Mexico
Tepalcatepec,Mexico
Teocaltiche,Mexico
Tejupilco de Hidalgo,Mexico
Técpan de Galeana,Mexico
Tecomán,Mexico
Tecate,Mexico
Tangancícuaro de Arista,Mexico
Tamazula de Gordiano,Mexico
Tala,Mexico
Tacámbaro de Codallos,Mexico
Sombrerete,Mexico
Soledad de Graciano Sánchez,Mexico
Silao,Mexico
Sayula,Mexico
Santiago Papasquiaro,Mexico
Santiago Ixcuintla,Mexico
Santiago,Mexico
Santa Rosa Jauregui,Mexico
Santa Catarina,Mexico
Santa Anita,Mexico
San Sebastián el Grande,Mexico
San Pedro,Mexico
San Pedro,Mexico
San Nicolás de los Garza,Mexico
San Miguel el Alto,Mexico
San Miguel de Allende,Mexico
San Luis Río Colorado,Mexico
San Luis Potosí,Mexico
San Luis de la Paz,Mexico
Cabo San Lucas,Mexico
San Juan de los Lagos,Mexico
San José Iturbide,Mexico
San José del Castillo,Mexico
San José del Cabo,Mexico
San Francisco del Rincón,Mexico
San Francisco de los Romo,Mexico
San Felipe,Mexico
San Felipe,Mexico
Tlaltenango de Sánchez Román,Mexico
San Buenaventura,Mexico
San Agustín,Mexico
Salvatierra,Mexico
Saltillo,Mexico
Salinas de Hidalgo,Mexico
Salamanca,Mexico
Sahuayo de Morelos,Mexico
Ciudad Sabinas Hidalgo,Mexico
Sabinas,Mexico
Rosarito,Mexico
El Rosario,Mexico
Romita,Mexico
Río Grande,Mexico
Rincón de Romos,Mexico
La Joya,Mexico
Ramos Arizpe,Mexico
Santiago de Querétaro,Mexico
Puruándiro,Mexico
Purísima de Bustos,Mexico
Puerto Vallarta,Mexico
Puerto Peñasco,Mexico
Piedras Negras,Mexico
Petatlán,Mexico
Peribán de Ramos,Mexico
Pénjamo,Mexico
Pátzcuaro,Mexico
Parras de la Fuente,Mexico
Paracho de Verduzco,Mexico
Palau,Mexico
Pabellón de Arteaga,Mexico
Ojinaga,Mexico
Ocotlán,Mexico
Nuevo México,Mexico
Nuevo Casas Grandes,Mexico
Nueva Rosita,Mexico
Nueva Italia de Ruiz,Mexico
Nochistlán de Mejía,Mexico
Navolato,Mexico
Navojoa,Mexico
Nava,Mexico
Moroleón,Mexico
Morelia,Mexico
Monterrey,Mexico
Monclova,Mexico
Mezcales,Mexico
Mexicali,Mexico
Meoqui,Mexico
Ciudad Melchor Múzquiz,Mexico
Medina,Mexico
Mazatlán,Mexico
Matehuala,Mexico
Matamoros,Mexico
Marfil,Mexico
Maravatío de Ocampo,Mexico
Manzanillo,Mexico
Rodolfo Sánchez Taboada,Mexico
Magdalena de Kino,Mexico
Magdalena,Mexico
Madera,Mexico
Los Reyes de Salgado,Mexico
Los Mochis,Mexico
Loreto,Mexico
León de los Aldama,Mexico
Las Pintas de Arriba,Mexico
La Piedad,Mexico
La Paz,Mexico
La Orilla,Mexico
Lagos de Moreno,Mexico
La Cruz,Mexico
La Barca,Mexico
Juventino Rosas,Mexico
Ciudad Benito Juárez,Mexico
Juan Aldama,Mexico
Jocotepec,Mexico
Jiquílpan de Juárez,Mexico
Jesús María,Mexico
Jerez de García Salinas,Mexico
Jaral del Progreso,Mexico
Jamay,Mexico
Jalostotitlán,Mexico
Xalisco,Mexico
Jacona de Plancarte,Mexico
Ixtlán del Río,Mexico
Ixtapa,Mexico
Irapuato,Mexico
Huetamo de Núñez,Mexico
Huatabampo,Mexico
Parral,Mexico
Heróica Zitácuaro,Mexico
Nogales,Mexico
Heroica Caborca,Mexico
Hermosillo,Mexico
Heroica Guaymas,Mexico
Guasave,Mexico
Guanajuato,Mexico
Guamúchil,Mexico
Ciudad Guadalupe Victoria,Mexico
Guadalupe,Mexico
Guadalupe,Mexico
Guadalajara,Mexico
Gómez Palacio,Mexico
Vicente Guerrero,Mexico
Juan José Ríos,Mexico
Ciudad General Escobedo,Mexico
San Pedro Garza García,Mexico
Fresnillo,Mexico
Francisco I. Madero,Mexico
Escuinapa de Hidalgo,Mexico
Ensenada,Mexico
Encarnación de Díaz,Mexico
Empalme,Mexico
El Salto,Mexico
Pueblo Nuevo,Mexico
El Salto,Mexico
El Salto,Mexico
San José del Quince,Mexico
El Grullo,Mexico
Puebla,Mexico
Esperanza,Mexico
Victoria de Durango,Mexico
Culiacán,Mexico
Cuauhtémoc,Mexico
Coyula,Mexico
Costa Rica,Mexico
Cortazar,Mexico
Compostela,Mexico
Comonfort,Mexico
Colima,Mexico
Ciudad Obregón,Mexico
Ciudad Lerdo,Mexico
Ciudad Juárez,Mexico
José Mariano Jiménez,Mexico
Ciudad Hidalgo,Mexico
Ciudad Guzmán,Mexico
Ciudad Delicias,Mexico
Ciudad Constitución,Mexico
Camargo,Mexico
Anáhuac,Mexico
Ciudad Altamirano,Mexico
Ciudad Acuña,Mexico
Ciénega de Flores,Mexico
Chihuahua,Mexico
Chapala,Mexico
Celaya,Mexico
Castaños,Mexico
Cananea,Mexico
Calvillo,Mexico
Víctor Rosales,Mexico
Autlán de Navarro,Mexico
Atoyac de Álvarez,Mexico
Atotonilco el Alto,Mexico
Ciudad de Armería,Mexico
Ario de Rosales,Mexico
Arcelia,Mexico
Arandas,Mexico
Ciudad Apodaca,Mexico
Apatzingán,Mexico
Apaseo el Grande,Mexico
Apaseo el Alto,Mexico
Ameca,Mexico
Allende,Mexico
Ciudad de Allende,Mexico
Aldama,Mexico
Ahualulco de Mercado,Mexico
Aguascalientes,Mexico
Agua Prieta,Mexico
Acaponeta,Mexico
Acámbaro,Mexico
Abasolo,Mexico
Hidalgo,Mexico
Dolores Hidalgo,Mexico
Guacamayas,Mexico
Ciudad Lázaro Cárdenas,Mexico
San José del Valle,Mexico
Benito Juárez,Mexico
Colonia del Valle,Mexico
Colonia Lindavista,Mexico
Colonia Nativitas,Mexico
Las Delicias,Mexico
Hacienda Santa Fe,Mexico
Fuentes del Valle,Mexico
San Salvador Tizatlalli,Mexico
Jardines de la Silla,Mexico
San Buenaventura,Mexico
Santa Teresa,Mexico
San Jerónimo Cuatro Vientos,Mexico
San Martín Azcatepec,Mexico
Fraccionamiento Real Palmas,Mexico
Pórticos de San Antonio,Mexico
San Isidro,Mexico
Centro Familiar la Soledad,Mexico
San José Guadalupe Otzacatipan,Mexico
Las Pintitas,Mexico
Emiliano Zapata,Mexico
San Antonio Tecómitl,Mexico
Licenciado Benito Juárez,Mexico
Teotihuacán de Arista,Mexico
Jesús del Monte,Mexico
San Jorge Pueblo Nuevo,Mexico
Manuel Ojinaga,Mexico
Terrazas del Valle,Mexico
La Ermita,Mexico
Lomas del Sur,Mexico
Parque Industrial Ciudad Mitras,Mexico
Mitras Poniente,Mexico
Villa del Prado 2da Sección,Mexico
Tres de Mayo,Mexico
Don Antonio,Mexico
Casa Blanca,Mexico
La Providencia Siglo XXI,Mexico
Ampliación San Mateo,Mexico
Fraccionamiento Ciudad Olmeca,Mexico
San Rafael Tlanalapan,Mexico
Tecámac de Felipe Villanueva,Mexico
Venceremos,Mexico
Alborada Jaltenco,Mexico
Crucecita,Mexico
San Jose de los Olvera,Mexico
Zacapu,Mexico
Colonia del Sol,Mexico
Tres Valles,Mexico
Kuah,Malaysia
Jerantut,Malaysia
Maran,Malaysia
Raub,Malaysia
Bentung,Malaysia
Tanjong Malim,Malaysia
Kuala Kubu Baharu,Malaysia
Parit Sulung,Malaysia
Batu Pahat,Malaysia
Parit Raja,Malaysia
Simpang Renggam,Malaysia
Pekan Nenas,Malaysia
Pontian Besar,Malaysia
Kampung Pasir Gudang Baru,Malaysia
Pasir Gudang,Malaysia
Kampung Larkin Lama,Malaysia
Kampung Sedenak,Malaysia
Kota Tinggi,Malaysia
Taman Senai,Malaysia
Kulai,Malaysia
Skudai,Malaysia
Kempas,Malaysia
Pelentong,Malaysia
Masai,Malaysia
Johor Bahru,Malaysia
Gelang Patah,Malaysia
Pengerang,Malaysia
Kluang,Malaysia
Yong Peng,Malaysia
Mersing,Malaysia
Segamat,Malaysia
Tangkak,Malaysia
Gerisek,Malaysia
Pagoh,Malaysia
Muar,Malaysia
Bakri,Malaysia
Labis,Malaysia
Kuala Selangor,Malaysia
Batang Berjuntai,Malaysia
Batu Arang,Malaysia
Kapar,Malaysia
Shah Alam,Malaysia
Klang,Malaysia
Cangkat Jong,Malaysia
Sungkai,Malaysia
Cukai,Malaysia
Kuala Lipis,Malaysia
Val Dor,Malaysia
Papar,Malaysia
Kuala Penyu,Malaysia
Kota Kinabalu,Malaysia
Donggongon,Malaysia
Putatan,Malaysia
Kinarut,Malaysia
Tambunan,Malaysia
Ranau,Malaysia
Semporna,Malaysia
Labuan,Malaysia
Sipitang,Malaysia
Beaufort,Malaysia
Lahad Datu,Malaysia
Sandakan,Malaysia
Keningau,Malaysia
Bandar Nabawan,Malaysia
Tawau,Malaysia
Dungun,Malaysia
Paka,Malaysia
Kertih,Malaysia
Gerik,Malaysia
Lunas,Malaysia
Kulim,Malaysia
Selama,Malaysia
Bandar Baharu,Malaysia
Bagan Serai,Malaysia
Padang Serai,Malaysia
Bedong,Malaysia
Kampung Kupang,Malaysia
Pulai,Malaysia
Kampung Jeli,Malaysia
Siburan,Malaysia
Tebedu,Malaysia
Bau,Malaysia
Simpang Empat,Malaysia
Kamunting,Malaysia
Batu Kurau,Malaysia
Taiping,Malaysia
Padang Rengas,Malaysia
Kuala Kangsar,Malaysia
Chemor,Malaysia
Ipoh,Malaysia
Lahat,Malaysia
Gua Musang,Malaysia
Kuala Terengganu,Malaysia
Marang,Malaysia
Kampung Teluk Kemang,Malaysia
Tampin,Malaysia
Alor Gajah,Malaysia
Durian Tunggal,Malaysia
Kampung Ayer Keroh,Malaysia
Sungai Udang,Malaysia
Malacca,Malaysia
Merlimau,Malaysia
Teluk Panglima Garang,Malaysia
Pelabuhan Klang,Malaysia
Banting,Malaysia
Jenjarum,Malaysia
Bangi,Malaysia
Semenyih,Malaysia
Seremban,Malaysia
Port Dickson,Malaysia
Sepang,Malaysia
Taman Senawang Indah,Malaysia
Bahau,Malaysia
Kuala Pilah,Malaysia
Rembau,Malaysia
Batu Anam,Malaysia
Rompin,Malaysia
Gemas,Malaysia
Pekan,Malaysia
Mentakab,Malaysia
Temerluh,Malaysia
Kampung Teluk Air Tawar,Malaysia
Batu Feringgi,Malaysia
Butterworth,Malaysia
Perai,Malaysia
Bukit Mertajam,Malaysia
Nibong Tebal,Malaysia
Parit Buntar,Malaysia
Kuala Kurau,Malaysia
Tasek Glugor,Malaysia
Balik Pulau,Malaysia
Bayan Lepas,Malaysia
George Town,Malaysia
Hulu Yam Lama,Malaysia
Serendah,Malaysia
Rawang,Malaysia
Sungai Buloh,Malaysia
Petaling Jaya,Malaysia
Kuala Lumpur,Malaysia
Setapak,Malaysia
Batu Caves,Malaysia
Ampang,Malaysia
Hulu Langat,Malaysia
Hutan Melintang,Malaysia
Sungai Besar,Malaysia
Kuantan,Malaysia
Sungai Siput,Malaysia
Batu Gajah,Malaysia
Kampar,Malaysia
Tapah Road,Malaysia
Bidur,Malaysia
Mukah,Malaysia
Tatau,Malaysia
Parit,Malaysia
Lumut,Malaysia
Sitiawan,Malaysia
Teluk Intan,Malaysia
Gurun,Malaysia
Yan Besar,Malaysia
Sungai Petani,Malaysia
Kepala Batas,Malaysia
Pasir Puteh,Malaysia
Tanah Merah,Malaysia
Kuala Krai,Malaysia
Kuching,Malaysia
Simunjan,Malaysia
Sri Aman,Malaysia
Sarikei,Malaysia
Maradong,Malaysia
Julau,Malaysia
Sibu,Malaysia
Pakan,Malaysia
Kangar,Malaysia
Changloon,Malaysia
Jitra,Malaysia
Kuala Kedah,Malaysia
Alor Setar,Malaysia
Tokai,Malaysia
Pokok Sena,Malaysia
Wakaf Baharu,Malaysia
Pasir Mas,Malaysia
Kota Bharu,Malaysia
Kudat,Malaysia
Saratok,Malaysia
Daro,Malaysia
Engkilili,Malaysia
Betong,Malaysia
Dalat,Malaysia
Kanowit,Malaysia
Lundu,Malaysia
Kapit,Malaysia
Niah,Malaysia
Belaga,Malaysia
Bintulu,Malaysia
Sebauh,Malaysia
Lawas,Malaysia
Limbang,Malaysia
Marudi,Malaysia
Beluru,Malaysia
Miri,Malaysia
Ulu Tiram,Malaysia
Ulu Kelang,Malaysia
Tanjung Sepat,Malaysia
Sungai Lalang,Malaysia
Sungai Dua,Malaysia
Seri Kembangan,Malaysia
Serian,Malaysia
Seputeh,Malaysia
Sentul,Malaysia
Relau,Malaysia
Puchong,Malaysia
Permatang Kuching,Malaysia
Peringat,Malaysia
Ladang Seri Kundang,Malaysia
Pantai Remis,Malaysia
Padang Besar,Malaysia
Lukut,Malaysia
Kubang Semang,Malaysia
Kuang,Malaysia
Kuala Ketil,Malaysia
Kepong,Malaysia
Klebang Besar,Malaysia
Kampung Kangkar Teberau,Malaysia
Kampung Tanjung Minyak,Malaysia
Kampung Tanjung Karang,Malaysia
Kampung Sungai Kajang,Malaysia
Kampung Sungai Glugur,Malaysia
Kampung Sungai Ara,Malaysia
Kampung Simpang Renggam,Malaysia
Kampong Sidam,Malaysia
Kampung Selang,Malaysia
Pendang,Malaysia
Kampong Pangkal Kalong,Malaysia
